id	spol	lroj	starost	visina	teza
1	Z	1941	19	165	48.8
2	Z	1941	18	155.7	48.9
3	Z	1941	19	153.6	55.5
4	Z	1941	18	163.4	69.7
5	Z	1941	19	164.7	60.8
6	Z	1941	19	163.6	58.6
7	Z	1941	19	161.8	52.9
8	Z	1941	18	163.9	67.6
9	Z	1941	19	161.4	60
10	Z	1941	18	162.8	57.4
11	Z	1941	18	161	59.5
12	Z	1941	19	159.5	65.2
13	Z	1941	19	165.3	60.2
14	Z	1941	19	170.3	69.7
15	Z	1941	18	165.3	65.3
16	Z	1941	19	168.1	61
17	Z	1941	19	157.1	51.9
18	Z	1941	18	161.5	53.3
19	Z	1941	19	167.8	59
20	Z	1941	18	162	55
21	Z	1941	19	154.5	46.4
22	Z	1941	20	166.7	53.5
23	Z	1941	19	168.2	56.3
24	Z	1941	20	152.8	43.8
25	Z	1941	20	153.4	46.4
26	Z	1941	19	160	52
27	Z	1941	19	167	55.5
28	Z	1941	19	163.1	64.3
29	Z	1941	20	161.2	54.1
30	Z	1941	19	156.7	58.1
31	Z	1941	20	164.3	54.4
32	Z	1941	20	152.7	50.9
33	Z	1941	20	160	53.4
34	Z	1941	20	163.3	52.8
35	Z	1941	20	157.7	66.2
36	Z	1941	20	162.7	66.8
37	Z	1941	19	169	64.3
38	Z	1941	20	157.1	50.8
39	Z	1941	19	166.5	61.6
40	Z	1941	19	158.7	62.5
41	Z	1941	20	150.9	57.9
42	Z	1941	19	167.5	60.5
43	Z	1941	20	165.6	66.4
44	Z	1941	19	167.7	63.8
45	Z	1941	20	158.2	50
46	Z	1941	19	162.2	52.6
47	Z	1941	20	158.4	57
48	Z	1941	19	169.4	49.2
49	Z	1941	20	170.1	65.4
50	Z	1941	20	165.2	60.9
51	Z	1941	19	164.5	65.4
52	Z	1941	20	160.8	58.8
53	Z	1941	20	172.5	63.4
54	Z	1941	18	162.2	58
56	Z	1941	19	169.8	63.7
57	Z	1941	20	163	63.2
58	Z	1941	19	169.4	62.5
59	Z	1941	19	157.9	48
60	Z	1941	19	169.4	61
61	Z	1941	19	167.7	63.9
62	Z	1941	19	159.1	52.2
63	Z	1941	19	156.3	54.8
64	Z	1941	19	161.5	59.1
65	Z	1941	19	164.5	59.3
66	Z	1941	19	155.3	56.9
67	Z	1941	19	164	50.4
68	Z	1941	19	163	60.5
69	Z	1941	19	165.2	63.8
70	Z	1941	19	152.1	54.8
71	Z	1941	19	163.6	55.2
74	Z	1941	19	163	62.8
75	Z	1941	19	153.6	50.5
76	Z	1941	19	156	48.3
77	Z	1941	19	170.2	56.5
78	Z	1941	19	160.7	60
79	Z	1941	20	171	74.8
80	Z	1941	19	160.5	62.3
81	Z	1941	19	167	66.5
82	Z	1941	19	157.7	61.6
83	Z	1941	19	171.2	75
87	Z	1941	19	162.3	51.8
88	Z	1941	18	158.7	60.4
89	Z	1941	19	155.8	71.4
90	Z	1941	19	165.6	57.3
91	Z	1941	19	156.1	65.1
92	Z	1941	19	157.1	49.2
93	Z	1941	19	172	67.2
94	Z	1941	19	158.6	56
95	Z	1941	19	157.2	58.5
96	Z	1941	18	159.3	58
97	Z	1941	19	158.1	56.5
98	Z	1941	19	156.7	54.3
99	Z	1941	19	171.2	61.1
100	Z	1941	19	168.7	64
101	Z	1941	19	163.2	63.1
102	Z	1941	19	166	58.3
103	Z	1941	19	162.3	67.5
104	Z	1941	19	178.8	73
106	Z	1941	19	170.1	75.7
107	Z	1941	19	164.8	53.5
109	Z	1941	20	157.4	57.5
112	Z	1941	19	166.1	56
113	Z	1941	19	157	57
114	Z	1941	19	160.7	47.1
115	Z	1941	18	163.4	54.5
116	Z	1941	19	162.2	71.4
118	Z	1941	19	165.2	62.9
119	Z	1941	19	175	76.3
120	Z	1941	20	163.5	65.1
121	Z	1941	19	157.1	60.2
122	Z	1941	19	163.1	55.9
123	Z	1941	19	172.3	62.8
124	Z	1941	19	155.4	64.6
125	Z	1941	19	164.1	62
126	Z	1941	19	149.9	60.5
127	Z	1941	19	155.7	67.8
128	Z	1941	19	159.2	54.8
129	Z	1941	18	154	47.6
130	Z	1941	19	168.4	57.7
131	Z	1941	19	156.4	51.3
132	Z	1941	19	171.3	61.3
133	Z	1941	19	160.5	52.7
134	Z	1941	20	167.8	57.1
135	Z	1941	19	159.6	56.7
136	Z	1941	20	149.6	52.5
137	Z	1941	19	162.7	57.5
138	Z	1941	19	164.1	64
139	Z	1941	19	170.7	66.6
140	Z	1941	19	168.7	58.8
141	Z	1941	18	165.6	63.1
143	Z	1941	19	172.2	80
144	Z	1941	19	161	60
145	Z	1941	19	182.1	72.7
146	Z	1941	19	172.1	71
147	Z	1941	19	167.5	68.4
148	Z	1941	20	166.7	73.3
149	Z	1941	20	159.6	48.4
150	Z	1941	19	164.2	59.4
151	Z	1941	19	169.8	61.2
152	Z	1941	19	160.6	51
155	Z	1941	19	155.3	59.2
156	Z	1941	19	168	59.1
157	Z	1941	19	145.4	49.7
158	Z	1941	18	156.4	52.9
159	Z	1941	20	156.6	58
160	Z	1941	19	160.6	60.7
161	Z	1941	19	157.9	52.7
162	Z	1941	20	163	67.4
165	Z	1941	19	166.4	63
166	Z	1941	19	169.3	66
167	Z	1941	19	161	62
168	Z	1941	19	157.5	55.8
169	Z	1941	20	153.7	49
170	Z	1941	18	165.2	57.3
171	Z	1941	19	162.5	63.5
172	Z	1941	20	163.6	55.8
173	Z	1941	20	167.7	62.9
174	Z	1941	19	156.3	56.4
176	Z	1941	19	169.1	77
177	Z	1941	19	156.1	46.9
178	Z	1941	19	148.6	53
179	Z	1941	19	169	57
180	Z	1941	19	162	58.2
181	Z	1941	19	167	58.2
182	Z	1941	19	160	61.8
183	Z	1941	19	157	55.6
184	Z	1941	19	165	54.2
185	Z	1941	19	167.6	67.4
186	Z	1941	19	171.4	69.5
187	Z	1941	19	165.6	56.5
189	Z	1941	18	162.1	61.5
1	Z	1942	19	172	63
2	Z	1942	20	156	55.7
3	Z	1942	20	163	57.7
4	Z	1942	20	160.1	53.5
5	Z	1942	19	166.7	60.7
6	Z	1942	19	178.5	63.8
7	Z	1942	20	160.7	54
8	Z	1942	19	163	52.3
9	Z	1942	19	164.8	56
10	Z	1942	19	174.3	63.7
11	Z	1942	19	166	57.9
12	Z	1942	20	159.1	54.7
13	Z	1942	19	166.5	71
14	Z	1942	19	171.6	66.8
15	Z	1942	19	159.3	62
16	Z	1942	19	167.9	62
17	Z	1942	19	164.7	60.5
18	Z	1942	18	165	64.4
19	Z	1942	18	162	55.2
20	Z	1942	19	160.7	51.5
21	Z	1942	19	167.5	58.5
22	Z	1942	20	167.2	53.1
23	Z	1942	19	166.2	55.2
24	Z	1942	20	168.1	54
25	Z	1942	19	160.4	52.8
26	Z	1942	20	165.2	55.4
27	Z	1942	19	162.8	60.1
28	Z	1942	19	155	57.5
29	Z	1942	20	158.1	51
